,Score
stormrat,(5.553950697680715+0j)
Darrin,(5.542503162190805+0j)
Oldiz,(5.537784228529231+0j)
Legend,(5.527985597437098+0j)
Taka,(5.50446932739816+0j)
baka4moe,(5.4741737951929945+0j)
Warriorknight,(5.404870204949011+0j)
Captain Ezekiel,(5.385999431069006+0j)
.Dempt,(5.364690721733863+0j)
Rooster,(5.3641291069127846+0j)
Penn,(5.311563230682321+0j)
JOAT Guy,(5.212846878680601+0j)
Ryan Ford,(5.113650831772958+0j)
Panko,(5.110954980908+0j)
LeZagna,(5.110080413141379+0j)
Aolong,(5.106012091590973+0j)
Brownie,(5.0956866492714425+0j)
epikfaal,(5.089088603492687+0j)
Bodunga of the Pooplands,(5.071947891227646+0j)
Phazon,(5.051778862752233+0j)
Jooce,(5.00198046610627+0j)
Crim,(4.980813335124093+0j)
Thor,(4.9473099665283335+0j)
Tao,(4.900586403396014+0j)
Forest,(4.85813071529989+0j)
100 Grand,(4.8417404943034015+0j)
Krudo,(4.817177439472843+0j)
Phish-it,(4.785963615067246+0j)
Soupo,(4.676376579588765+0j)
Jim Morrison,(4.672156923727901+0j)
Nakamaman,(4.660943791617342+0j)
fortissimis,(4.6391982097135305+0j)
RJW,(4.6265444242967915+0j)
Mox,(4.625697232096222+0j)
skullbro,(4.622278659062577+0j)
1bm,(4.60811658287431+0j)
Dekar,(4.58046835369877+0j)
G$,(4.530371376991194+0j)
Lad,(4.52649889842381+0j)
ThundeRzReiGN~,(4.522824687777307+0j)
Tempo,(4.459265739445026+0j)
KringeKid,(4.446854716884092+0j)
Shinobi,(4.3634799731084435+0j)
dangit brigade 4,(4.303487007445629+0j)
Windrose,(4.227444771628718+0j)
Stan,(4.224825757483764+0j)
Fishbait,(4.219210293282587+0j)
KT,(4.207651739054748+0j)
Buck Momma,(4.200315151794014+0j)
dizzkidboogie,(4.190190491285135+0j)
BiscuitTricks,(4.180986664946129+0j)
GirthwormJim,(4.168751145949124+0j)
JRad,(4.139030702769756+0j)
Nijia,(4.100578807131609+0j)
Spence,(4.086942605262143+0j)
CALE,(4.073273005050915+0j)
Alan,(4.070860013171488+0j)
GodTouch,(4.064088006342532+0j)
