,0
Metroxe,1.988544117
Wobble2King,1.986242932
boriater,1.973499998
NathanSandwich,1.963543774
Bagels,1.958303051
Jooce,1.915965956
Blunted_Object10,1.912501091
FoxCapacitor,1.899611396
E-tie,1.894278404
Draizin,1.871806217
Uzi,1.86358908
Dhoho,1.855557003
Vari,1.851041404
Bucktown,1.841010656
XIF,1.840930832
Bodunga of the Pooplands,1.835039836
kLUB,1.81905337
C15,1.799026741
gaR,1.795983517
katfishsquirrelmetronome,1.789884061
Laurster,1.784265073
OtES,1.783865941
Pops,1.775904291
Forest,1.773089116
Georges,1.771983286
Meelo,1.75662033
Benchiladas,1.755905677
Crunch,1.748961141
TPS,1.748547293
Sirmeris,1.73847607
ShotoNC,1.736017408
Landon,1.734146101
Windrose,1.721951936
Dayman,1.710830719
Mr. Penis Man,1.709572054
Pouch,1.69989962
Air,1.69038964
Axcel,1.689802555
GirthwormJim,1.688201742
Geoff,1.687757369
FLiiNcHy,1.685476829
David,1.678293528
Rasen,1.675805495
Full Synchro,1.671315756
SAUS,1.667138212
XPO,1.641661763
Guzy,1.634962046
PRZ,1.628905803
Zato,1.627726899
Cowbell,1.626875321
Jarc,1.624822878
Trichael Man,1.624485282
Sigh,1.615197239
LEGO,1.6141544
Sp1nda,1.605923111
flatline,1.602431539
UpSmash&Pray,1.601608655
Renzo,1.584551099
Wavebringer,1.582199013
Faber,1.562432525
Mr Pebbles,1.55608851
Fake Nico,1.554990082
lochist,1.54762829
Charlie Brown,1.546502458
Xaii,1.542855279
Phish-it,1.542546828
DarkLava,1.535705167
99 Woodcutting,1.525121113
mirrorman,1.519186795
Rrob,1.492973268
GODDISH,1.492944415
JAM,1.492628788
Natsu,1.473680473
Beto,1.469113704
Basic Stitch,1.450995655
yingling,1.44562278
Bubbles,1.439987219
Hobro,1.437846436
Dr. Z,1.436364819
Saron,1.43624998
Sourdough,1.405001837
polear,1.400067473
Kage,1.38408066
Lev,1.381691013
CarbonDog,1.363206871
Blendtec,1.362218472
Dongmaster42069,1.34048073
Dragoid,1.330431887
1bm,1.328852801
Steak,1.326657583
Sixx,1.324129251
Tempo,1.31548559
Sparking!!,1.294912107
Monib,1.290371435
Lights,1.288230093
Zhye,1.281409796
BluRey,1.272937942
mouse,1.267591949
MIDI,1.261622768
TheLabMaster,1.255798807
Dunc,1.237438158
Trock,1.235635223
DJANGO FETT,1.226600342
FoodWorld,1.22643558
Kuyashi,1.219223959
Thor,1.217710568
Joka,1.210051613
YTW,1.209370529
SimbaShady,1.20126768
Nav,1.18843475
JOAT Guy,1.170242052
Stavino,1.165589662
John Llawless,1.164747699
Dr. B,1.16237844
Floursnail,1.161637172
Amune,1.154279719
ADMJ,1.145986114
TomBoComBo,1.137722197
Joey-Laces,1.13664376
JScott,1.129193066
Jorge,1.12757396
sinkingwithseals,1.12172095
Keystone,1.111230287
dank,1.10698145
Heyzeus,1.093096357
Splice,1.088812843
RooT3,1.082417343
Londo,1.080929427
Bigcoyotes,1.079494186
Buck Momma,1.059164758
Panko,1.05894609
Tao,1.057043792
Girth,1.050647092
KT,1.045456323
Jayson,1.044520664
angel,1.039918802
Kid,1.039103238
TheSWOOPER,1.03203427
CDay,1.018019328
Aerius,1.009720172
Cantus,1.000214088
20Too,0.999754805
Yert,0.98838907
Ceja,0.987184734
duqtape,0.979139811
Komodo,0.964523949
Hank,0.961859336
Blitzbolt,0.95968163
satchel,0.95911645
Kyza,0.958144986
JRad,0.94975456
t o r o c h ū とろちゅう,0.946445417
joepesci,0.946260323
Requiem,0.944584867
Mr. Postman,0.931664091
Eddy Mexico,0.930145236
DomHynes,0.929766716
HgrMgr,0.926856515
Turtle,0.926462718
Frotaz,0.925232254
DZhangarang,0.92302352
