,Score
skullbro,142.55015373942078
SmashBob SquarePants,142.38706941257726
geg :),142.3218652720642
Ivayne,142.1499171168893
E-tie,141.70095914617775
Askeflink,140.7480044797444
Flash,140.29476245766176
Px-Hylian,140.22314701595627
Exy-,139.33632419212776
Pelipper,138.38736325073302
C-bass,138.2592656654312
regEx,138.17877513823993
KeyboardMarth,138.15077405453604
TnR~,137.42925487064127
TechDeath,136.35799518255558
Wens,136.24315422499225
Phorox,136.0424570232259
Nickemwit,135.575413538821
Erik Reeds,135.17514696731632
901|Austin,134.401319840638
Umarth,134.2339646977539
Starlord,133.47819089282393
Brazmonkey,133.1631472119796
Gooms,132.49960908041552
jess*,132.08047819798747
LilFrogurt,131.86222829326442
Raptori,130.0718161606376
MordecaiPielord,129.888486478838
Jaywalker,129.5792214119502
Solomon,128.03117063245952
Fat Penguin,127.67999435050585
Meady,127.60150503932681
lexor,127.05612354484828
ronnie,126.45286819613271
Redcoat,126.31042378262566
Bananas,125.89413154494818
Hunybear,124.41545775294588
bobbybigballz,123.88628137038448
Goodie,122.71496621150867
SnooSnoo,122.65020407918291
Frogchip,122.63399251171735
Pickle Nick,122.58875013517077
Sicca,122.25999217444323
Buttlet,122.0732806966531
bp,121.99806029274231
Weston,121.60001577126829
Kitcatski,121.00294694603717
Nightstar,120.85601224545559
Austintacious,120.6931829728867
soap,120.28938840301748
Spark,119.6391267598209
Cent,119.54943154178405
Noire,119.38500040102113
Tribe,119.30395213877219
Liax,119.24543839626006
lincoln3,117.36960172704482
Chopsteezy,117.10459492366446
JOJI,117.10259520769972
Nix,117.06032193920886
Drunko,115.88134709642708
Cob,114.65041431894733
Squeachu,113.69533362851115
Robs,113.4843131973685
R23,113.12570170936694
Relish,112.74381067966314
Asuka,112.35203101783131
Negat!ve,112.30714930885848
keane,111.86667236132735
caioicy,111.38204417316885
Madness,110.18095499285499
Tap Jump,109.77056202678222
Savestate,109.71158265076801
McCloud,109.54290473732732
Vincessant,109.04532467671166
mayhem092,108.92230053377882
hp,108.78085704802962
Zephyr,107.5173169338828
lillbaskern,107.47476324941671
GI0GOAT,107.39942249310354
Dusk,107.30316225197826
Happens,107.25818008818123
Mezzy,106.34106373051273
n3zModGod,105.86763471916207
GGS,105.60548814983237
MegaXmas,105.13179653386155
Grey-C,104.90324500273647
Niklas2912,104.88333644894459
Goonus,104.87124680642188
tomdollars,104.60899651811388
Kapachi,104.3121677055708
Equal,103.58475238872171
squible,103.21411001055966
BIG PIKA,102.96433499531649
snoceany,102.4406609309186
Vintage,102.38499864484119
tjihu,102.35842458623792
Dirt,101.56272663800988
Juiceman,101.32416746726514
Genghis Connor,101.29300035723107
elclid,100.96953701028563
Apollo Bon,100.70548304379393
ENFP,100.58684938596423
Nerin,100.46492311727764
Stango,100.4164179756271
th0rn,99.9900022373758
Krizski,99.5160857716572
Epic Murloc,98.74578814913167
SlumlordGG,98.60691377330818
Greenbean,98.28778099480404
Esquire,98.20814354352812
Jammy,98.10343525600467
Smarted,97.82636977096483
ModestMajor,97.14608953796554
Awppa,96.29923003343656
Jochi,96.01559569483948
Unoriginal,95.92861438796434
maxi,95.78432274134533
phx,94.93597326777966
Muscoman,94.56709179503383
r,94.22075114896452
SubTails,93.24858483724984
Jormis,93.2345236976434
FF20,92.98450278514507
Federer,91.7378226479041
Shotwin,91.26360695010739
Rongunshu,91.19253487834733
ShiftingShadows,90.57007216846415
SteelRhydon,90.32894633729715
Yu,90.19781445194398
TheManaLord,90.08991167781579
Phish-it,89.80004428768079
Koala,89.71929118578498
Glaikit,89.64137314024335
g-regulate,89.50230596824895
Crack Deala,89.31996668028566
Polo,89.12636801048437
Sand,88.7723573149186
Will Smith,88.21465832696211
Koishi-chu,87.99014911943483
Pi-Lingual,87.93963621307506
Skrub,87.83444054976312
Vianny,87.53509362522558
BROWNDOGSRCOOL42,87.14202605812844
JohsyJam,87.10499454346663
Bose,86.96442035132051
Squid,86.72628358162413
Thai,86.70523159395142
Ellis,86.62502185991892
Mimsy,86.5237130987708
Nitsuj,86.4930454942153
Daltz,86.30146586573272
Harout,85.957003554762
Dekar,85.54783120446413
SmallHandsBrian,84.85203568072649
Isles,84.73183592993226
Ryu,84.41136184428802
Fout NL,84.3828704526903
Tokage,84.26167525452644
iLL BiLL,84.15566082502195
PooplePie,83.89483544852735
Seretur,83.73926211642811
Sigma,83.02299256319924
Sverre,83.0064314560659
Ryzon,82.97258855401722
HoorayForJay,82.69252553579662
mordo,82.39988301764595
Clutch,82.24858400234189
Steff$,82.20485246434343
olé,82.06358584464493
Arcadia,82.00808377712511
Khalid,81.9167406174418
GodTouch,81.88408813428566
lil malaria,81.85871736629406
二日未満,81.8240489871909
Gazm,81.56425167945052
RockMyRole,81.2586484043683
Yogurt,81.21048906228438
Hulka,81.17124521726743
dank,81.16568997661298
Moist,80.64167052107958
Mave,80.52293096701732
Ragnite,80.4869880531576
Lackss,80.47374420949181
Bungwipe,80.45646739191164
Bab Activated,79.61216857140295
Twan Jr.,79.42247501145351
melodiic,79.380441370255
Sinbad,79.31847304824996
Brio,79.09160349565124
HELLA,78.83379973365089
Joefish,78.79927078595463
Holiday,78.68097461470876
Parsec,78.56205831039986
JNPman,78.40286209137697
MadeInShineA,78.37578175904373
N0z1ck,77.83588017208308
ChuDat,77.83252493598206
Connor,77.52673963033159
GG,77.49344830490128
Frunko,76.95886620368478
Vrad,76.57680965985564
sinbad,76.54420136053263
Cannagar,76.02163215272958
Oaty,75.20879788377027
lula,74.9726285336531
Timi,74.7652278917369
Shifty,74.3456773714753
Sevan,74.2742566052761
Louis,74.06362875910389
119j,73.8745794794246
Charlon,73.8108123429304
snake,73.72232039257989
Koder,73.47492884295669
cadenville,73.36022958092494
bonfire10,73.2657485355685
BIRA,72.96849619075486
Cobb,72.86654883928807
Noxxa,72.77204616214084
Kevin Maples,72.7458422770969
Jeapie,72.54107734015012
LeZagna,72.46025980296017
Leof,72.31724141079599
пooп,72.2993088932597
NinjagoFan72,72.07286181626586
Okameed,72.00890863668255
Kevbot,71.58232597839202
envoke,71.52165027521042
Garfield,71.38062077791315
sinkingwithseals,70.91012417220347
Fro116,70.88264146639864
Jayson,70.55139483018618
ajay,70.53865959193746
Gappy,70.3661888359209
shamr0ck,69.5830942148374
DrewNG,69.54400071294238
Humpe,68.94443578369854
LLDL,68.77322632172357
Jace,68.69018930412595
Tellman,67.53194671505979
Zlatan,67.48510091752115
sambob,67.4792296754216
hot atze sommer,67.33992752949135
Zhyrri,66.93449057253608
Steoh,66.9199394363901
NCR0,66.83758598325755
BraveHeart,66.836865526492
Solanum,66.44877157988645
Dabest,66.17968941126851
Vorporal,66.04264143294911
Horde,66.03409111070391
billybopeep,65.69228157513152
Lexionos,65.62725418474815
Xela,65.59008951132786
NDJ,65.41868645162427
Gl!tch,65.2587244178174
smocaine,65.25150028906043
Doritoes5,65.24062324189403
Envity,65.05680099939771
FluentCoding,65.05293887691607
Pops,64.75817731140467
JCubez,64.46313436608243
Chango,64.19064266613789
Dev,64.13302642408244
Leighton,64.10407358150395
Blazen,63.98265498944997
Uncle B,63.83302014893272
Young Neil,63.809250245948164
Rooster,63.71373829384554
Nova,63.32698777868076
Rayboyp,63.19105320621351
Nox,62.98494448607448
Renzo,62.496761122569914
tentpoles,62.408654361670266
Little Bear,62.34185608751306
Nick,62.1101151344356
SMC,62.073747390644805
0000000000,62.02967128727978
DeltaSupercross,61.923354566486765
Axarth,61.85756305623635
Hyunnies,61.825252352315545
LoganTMG,61.80785531946536
Jeffe,61.79936689799868
Salo,61.63245685464141
Switch,61.21607333990559
Clarity,61.07449054954522
Duff,60.300095060145026
MAX-THE_MAX-MAX,60.275785814017006
Snouk,60.16183288162915
Mushu,60.071986597473824
Kendrick,60.01804430976249
Papillon,59.55098225660859
Paju,59.414960943314824
GoodEnough,59.09372125584774
Luigi Ka-Master,58.96528584176436
Gr4pe,58.86939691685198
Charon,58.74700574614194
lochist,58.72569396883452
Uzi,58.71568688300569
Eekim,58.58728894789711
Schneebert,58.56361153319338
inchou,58.475543781405165
Casual,58.425574705803484
Gainz,58.214960442327374
Alephany,58.102965789663955
West,58.023141152170304
Laurster,57.93440877499914
SenX,57.88439638262921
Schima,57.81528580962965
ACSL,57.76808920417541
May,57.66675467414973
6TY,57.66375874356688
Studkip,57.46124855309607
Hank,57.192285035907105
DonB,57.02781430577684
Clairety,56.867134487736266
cockbread,56.831317825176086
Tony Bomboni,56.80142870529399
AzLuFa,56.44907654318092
TVBen,56.4338760620429
Lele,56.297738058129966
Shmo,56.207269545960614
big irf,56.17036385928675
EuO,55.99772865166227
Jvamos,55.71099695936503
Ludacario,55.70685871220955
The Fury,55.63160474843466
X-Hylian,55.548935533175964
Fat Tino,55.454362389173546
Profanity,55.376630214029355
Gaz!,55.17931314287297
squizzage,54.72082275477912
SpecialK,54.62193153497223
It's Ok If I Lose,54.565210480228735
Gemini,54.508928462113616
EduPorp,54.406051343271486
blockie,54.27381460689682
zekraM,54.22854796030501
Mirage,54.08578215005138
Gabe,54.029234323489234
SweetBabyDave,53.93454840408198
Dream,53.91417185713959
WUMPUS,53.78910925395746
CB,53.604729114329814
Keenan,53.440403614010464
INDY,53.36143077424407
